partid,locid,historybegdate,historyamount
1234893,113821,8/15/2015,1062
1234893,113821,8/22/2015,1079
1234893,113821,8/29/2015,1089
1234893,113821,9/5/2015,1106
1234893,113821,9/12/2015,1047
1234893,113821,9/19/2015,987
1234893,113821,9/26/2015,1022
1234893,113821,10/3/2015,1240
1234893,113821,10/10/2015,1301
1234893,113821,10/17/2015,1205
1234893,113821,10/24/2015,1258
1234893,113821,10/31/2015,1294
1234893,113821,11/7/2015,1248
1234893,113821,11/14/2015,1415
1234893,113821,11/21/2015,1444
1234893,113821,11/28/2015,1421
1234893,113821,12/5/2015,1284
1234893,113821,12/12/2015,1374
1234893,113821,12/19/2015,923
1234893,113821,12/26/2015,707
1234893,113821,1/2/2016,1508
1234893,113821,1/9/2016,1471
1234893,113821,1/16/2016,1553
1234893,113821,1/23/2016,1569
1234893,113821,1/30/2016,1611
1234893,113821,2/6/2016,1276
1234893,113821,2/13/2016,1806
1234893,113821,2/20/2016,1733
1234893,113821,2/27/2016,1650
1234893,113821,3/5/2016,1753
1234893,113821,3/12/2016,1639
1234893,113821,3/19/2016,1406
1234893,113821,3/26/2016,1463
1234893,113821,4/2/2016,1629
1234893,113821,4/9/2016,1530
1234893,113821,4/16/2016,1669
1234893,113821,4/23/2016,1667
1234893,113821,4/30/2016,1517
1234893,113821,5/7/2016,1889
1234893,113821,5/14/2016,1639
1234893,113821,5/21/2016,1870
1234893,113821,5/28/2016,1750
1234893,113821,6/4/2016,1775
1234893,113821,6/11/2016,1773
1234893,113821,6/18/2016,1935
1234893,113821,6/25/2016,1693
1234893,113821,7/2/2016,1486
1234893,113821,7/9/2016,1932
1234893,113821,7/16/2016,1948
1234893,113821,7/23/2016,2025
1234893,113821,7/30/2016,2008
1234893,113821,8/6/2016,1974
1234893,113821,8/13/2016,2026
1234893,113821,8/20/2016,1684
1234893,113821,8/27/2016,1982
1234893,113821,9/3/2016,2120
1234893,113821,9/10/2016,1832
1234893,113821,9/17/2016,2247
1234893,113821,9/24/2016,2012
1234893,113821,10/1/2016,2005
1234893,113821,10/8/2016,2280
1234893,113821,10/15/2016,2103
1234893,113821,10/22/2016,2026
1234893,113821,10/29/2016,1992
1234893,113821,11/5/2016,2254
1234893,113821,11/12/2016,2212
1234893,113821,11/19/2016,2225
1234893,113821,11/26/2016,2357
1234893,113821,12/3/2016,2124
1234893,113821,12/10/2016,2059
1234893,113821,12/17/2016,1851
1234893,113821,12/24/2016,1371
1234893,113821,12/31/2016,1893
1234893,113821,1/7/2017,2348
1234893,113821,1/14/2017,2343
1234893,113821,1/21/2017,2045
1234893,113821,1/28/2017,1987
1234893,113821,2/4/2017,2558
1234893,113821,2/11/2017,2527
1234893,113821,2/18/2017,2379
1234893,113821,2/25/2017,2398
1234893,113821,3/4/2017,2601
1234893,113821,3/11/2017,2558
1234893,113821,3/18/2017,2677
1234893,113821,3/25/2017,2452
1234893,113821,4/1/2017,2323
1234893,113821,4/8/2017,1989
1234893,113821,4/15/2017,2333
1234893,113821,4/22/2017,2371
1234893,113821,4/29/2017,2190
1234893,113821,5/6/2017,2466
1234893,113821,5/13/2017,2812
1234893,113821,5/20/2017,2802
1234893,113821,5/27/2017,2672
1234893,113821,6/3/2017,2735
1234893,113821,6/10/2017,2574
1234893,113821,6/17/2017,2532
1234893,113821,6/24/2017,2145
1234893,113821,7/1/2017,2483
1234893,113821,7/8/2017,2699
1234893,113821,7/15/2017,2797
1234893,113821,7/22/2017,2634
1234893,113821,7/29/2017,2698
1234893,113821,8/5/2017,2766
1234893,113821,8/12/2017,2732
1234893,113821,8/19/2017,2648
1234893,113821,8/26/2017,2438
1234893,113821,9/2/2017,2625
1234893,113821,9/9/2017,2661
1234893,113821,9/16/2017,2549
1234893,113821,9/23/2017,2532
1234893,113821,9/30/2017,2349
1234893,113821,10/7/2017,2754
1234893,113821,10/14/2017,2861
1234893,113821,10/21/2017,2868
1234893,113821,10/28/2017,2886
1234893,113821,11/4/2017,2752
1234893,113821,11/11/2017,2714
1234893,113821,11/18/2017,2746
1234893,113821,11/25/2017,2650
1234893,113821,12/2/2017,2582
1234893,113821,12/9/2017,2552
1234893,113821,12/16/2017,2465
1234893,113821,12/23/2017,1605
1234893,113821,12/30/2017,2184
1234893,113821,1/6/2018,2929
1234893,113821,1/13/2018,2859
1234893,113821,1/20/2018,2933
1234893,113821,1/27/2018,3024
1234893,113821,2/3/2018,3133
1234893,113821,2/10/2018,2458
1234893,113821,2/17/2018,2889
1234893,113821,2/24/2018,2899
1234893,113821,3/3/2018,2942
1234893,113821,3/10/2018,3067
1234893,113821,3/17/2018,2959
1234893,113821,3/24/2018,2511
1234893,113821,3/31/2018,2691
1234893,113821,4/7/2018,2653
1234893,113821,4/14/2018,2986
1234893,113821,4/21/2018,2888
1234893,113821,4/28/2018,2636
1234893,113821,5/5/2018,2800
1234893,113821,5/12/2018,3020
1234893,113821,5/19/2018,3194
1234893,113821,5/26/2018,2852
1234893,113821,6/2/2018,3000
1234893,113821,6/9/2018,2619
1234893,113821,6/16/2018,2796
1234893,113821,6/23/2018,2849
1234893,113821,6/30/2018,2852
1234893,113821,7/7/2018,2814
1234893,113821,7/14/2018,3141
1234893,113821,7/21/2018,3117
1234893,113821,7/28/2018,3233
1234893,113821,8/4/2018,3239
1234893,113821,8/11/2018,2998
1234893,113821,8/18/2018,3069
1234893,113821,8/25/2018,3287
1234893,113821,9/1/2018,3192
1234893,113821,9/8/2018,3171
1234893,113821,9/15/2018,1704
